,Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price,Age
4652,gmc,acadia,2017,white,gas,automatic,3.6,1.636032896450149,aseer,75000,6
4653,toyota,hilux,2016,white,gas,manual,2.7,0.2568069557081396,makkah,75000,7
4654,toyota,camry,2017,blue,gas,automatic,2.5,-0.9391651887115049,al-baha,75000,6
4655,toyota,hilux,2016,white,gas,manual,2.7,-0.6594620259036849,makkah,75000,7
4656,chevrolet,impala,1964,green,gas,automatic,1.2,-0.273664559961864,eastern,75000,59
4657,kia,seltos,2021,red,gas,automatic,1.6,-1.1417088583309607,riyadh,75000,2
4658,nissan,patrol,2015,white,gas,automatic,4.8,1.1441411273743274,makkah,75000,8
4659,hyundai,tucson,2018,white,gas,automatic,1.6,0.1700025258712299,eastern,75000,5
4660,toyota,hilux,2015,white,gas,manual,2.7,1.65532276974724,riyadh,75000,8
4661,mercedes,sel,1990,gray,gas,automatic,4.0,-0.3797588630958647,eastern,75000,33
4662,mercedes,c,2016,white,gas,automatic,2.0,-0.34117911650168264,jizan,75000,7
4663,chevrolet,impala,2015,gray,gas,automatic,3.5,-0.21579494007059088,eastern,75000,8
4664,toyota,rav4,2017,white,gas,automatic,2.5,-0.022896207099680488,riyadh,75000,6
4665,toyota,prado,2014,white,gas,automatic,4.0,0.7348678856299469,eastern,75000,9
4666,toyota,fj,2014,green,gas,automatic,4.0,0.19893733581686648,riyadh,75000,9
4667,hyundai,santa fe,2018,gray,gas,automatic,3.3,-0.6529999183491593,riyadh,75000,5
4668,gmc,yukon,2015,yellow,gas,automatic,5.3,1.5781632765588758,aseer,75000,8
4669,toyota,fj,2014,white,gas,automatic,4.0,2.397982891685245,makkah,75000,9
4670,chevrolet,suburban,2013,red,gas,automatic,5.3,-0.153951606280117,riyadh,75000,10
4671,toyota,fortuner,2017,gray,gas,automatic,2.7,1.0380468242403267,riyadh,75000,6
4672,toyota,innova,2020,gray,gas,automatic,2.7,-0.5244329128240475,riyadh,75000,3
4673,toyota,hilux,2017,white,gas,manual,2.7,-0.20868662176061284,jizan,75000,6
4674,ford,taurus,2018,gray,gas,automatic,2.0,-0.3218892432045916,eastern,75000,5
4675,toyota,land cruiser,2012,white,gas,manual,4.0,1.9175975320311383,riyadh,75000,11
4676,toyota,land cruiser,2013,yellow,gas,manual,1.0,2.4076278283337906,hail,75000,10
4677,hyundai,tucson,2019,gray,gas,automatic,1.6,-0.8330708855775042,riyadh,75000,4
4678,ford,taurus,2017,gray,gas,automatic,3.5,0.1344223545747455,eastern,75000,6
4679,toyota,hilux,2017,white,gas,manual,2.7,-0.07112089034240808,eastern,75000,6
4680,toyota,fortuner,2017,white,gas,automatic,2.7,-0.5630126594182296,eastern,75000,6
4681,chevrolet,silverado,2014,white,gas,automatic,5.3,-1.2359109545773048,eastern,75000,9
4682,kia,optima,2018,white,gas,automatic,2.4,-0.43762848298713786,eastern,75000,5
4683,lexus,es,2013,white,gas,automatic,3.5,0.690829104892688,riyadh,75000,10
4684,ford,taurus,2017,white,gas,automatic,2.5,-0.11934557358513569,qassim,75000,6
4685,ford,taurus,2017,blue,gas,automatic,4.0,-0.3797588630958647,riyadh,75000,6
4686,ford,expedition,2015,white,gas,automatic,5.4,-0.12899051023368122,eastern,75000,8
4687,mercedes,s,2007,brown,gas,automatic,3.0,0.690829104892688,eastern,75000,16
4688,gmc,sierra,2015,black,gas,automatic,5.3,-1.236267817233301,eastern,75000,8
4689,chevrolet,impala,2019,gray,gas,automatic,3.6,-0.2717355726321549,riyadh,75000,4
4690,gmc,yukon,2013,brown,gas,automatic,5.3,-0.20615000342204537,eastern,75000,10
4691,nissan,vtc,2015,white,gas,manual,4.8,-1.1417088583309607,makkah,75000,8
4692,toyota,corolla,2020,gray,gas,automatic,1.6,-1.0934841750882331,riyadh,75000,3
