Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price
hyundai,sonata,2020,gray,gas,automatic,2.5,78000,riyadh,92000
hyundai,azera,2020,blue,gas,automatic,3.5,68000,riyadh,92000
toyota,rav4,2020,white,gas,automatic,2,89000,riyadh,92000
ford,muang,2015,white,gas,manual,5,111000,makkah,92999
toyota,avalon,2016,white,gas,automatic,3.5,123000,riyadh,93000
toyota,fortuner,2019,white,gas,automatic,3,40000,riyadh,93000
toyota,rav4,2020,white,gas,automatic,2,30000,najran,93000
gmc,sierra,2018,white,gas,automatic,5.3,95000,eastern,93000
ford,taurus,2018,black,gas,automatic,3.5,92000,eastern,93000
ford,f-150,2016,white,gas,automatic,5,115000,qassim,93000
toyota,hilux,2020,white,gas,automatic,2.7,87000,riyadh,93000
toyota,land cruiser,2016,other,gas,manual,4,243038,riyadh,93500
toyota,fortuner,2020,white,gas,automatic,2.7,76192,riyadh,93500
lexus,es,2018,white,gas,automatic,3.5,128000,riyadh,93500
toyota,camry,2019,black,gas,automatic,2.5,13000,riyadh,94000
hyundai,azera,2019,blue,gas,automatic,3.5,64000,riyadh,94000
ford,muang,2016,red,gas,automatic,3.7,103000,eastern,94000
mercedes,c,2015,gray,gas,automatic,2,187000,riyadh,94000
toyota,hilux,2016,white,gas,manual,2.7,28000,eastern,94000
toyota,rav4,2020,white,gas,automatic,2.5,152000,eastern,94000
toyota,rav4,2019,white,gas,automatic,2,107000,eastern,94000
toyota,hilux,2016,white,gas,manual,2.7,28000,eastern,95000
ford,expedition,2016,white,gas,automatic,3.5,104000,eastern,95000
ford,explorer,2016,red,gas,automatic,3.5,93000,riyadh,95000
